conserved_genes_fragments	RNA-anno	TPM in G1	TPM in G1+HB	TPM in HB	TPM in G1/TPM in HB	TPM in G1+HB/TPM in HB
matR-part33	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part34	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part35	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part36	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part38	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part39	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part40	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part41	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
matR-part42	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
matR-part43	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
matR-part44	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
atp6-part20	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
atp6-part21	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
atp6-part22	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
atp6-part23	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
atp6-part24	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
nad9-part0	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
nad9-part1	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
nad9-part2	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
nad9-part4	gene-G1-466	5709.117129	3715.922346	3136.567846	1.820179702	1.184709698
nad9-part5	gene-G1-4728	273.235098	163.7777456	157.1184572	1.739038831	1.042383871
nad9-part6	gene-G1-4728	273.235098	163.7777456	157.1184572	1.739038831	1.042383871
nad9-part7	gene-G1-4728	273.235098	163.7777456	157.1184572	1.739038831	1.042383871
nad9-part8	gene-G1-4728	273.235098	163.7777456	157.1184572	1.739038831	1.042383871
nad9-part9	gene-G1-4728	273.235098	163.7777456	157.1184572	1.739038831	1.042383871
nad9-part10	gene-G1-919	1718.111164	908.7946931	1000.24027	1.717698452	0.908576389
rpl5-part17	gene-G1-919	1718.111164	908.7946931	1000.24027	1.717698452	0.908576389
rpl5-part18	gene-G1-463	3501.621398	2350.726034	2084.115904	1.680147151	1.127924809
atp6-part14	gene-G1-463	3501.621398	2350.726034	2084.115904	1.680147151	1.127924809
atp6-part15	gene-G1-463	3501.621398	2350.726034	2084.115904	1.680147151	1.127924809
atp6-part16	gene-G1-463	3501.621398	2350.726034	2084.115904	1.680147151	1.127924809
atp6-part17	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part18	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part19	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part20	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part21	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part22	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part23	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part24	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part0	gene-G1-470	2675.265351	1421.31596	1598.25729	1.673864006	0.889291085
atp6-part1	gene-G1-4732	131.906599	101.9316039	79.7678321	1.65363149	1.277853506
atp6-part2	gene-G1-4732	131.906599	101.9316039	79.7678321	1.65363149	1.277853506
atp6-part3	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part4	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part5	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part6	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part7	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part8	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part9	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part10	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part11	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part12	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part13	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part0	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part1	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part2	gene-G1-4730	300.392339	187.8290229	181.7739689	1.652559719	1.033310897
atp6-part3	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
atp6-part4	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
atp6-part5	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
atp6-part6	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part39	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part40	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part41	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part42	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part43	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part44	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part45	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part46	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part47	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part48	gene-G1-468	2076.143361	1371.495457	1258.881423	1.649196917	1.089455633
matR-part49	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
matR-part50	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
matR-part51	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part2	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part3	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part4	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part5	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part6	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part7	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
nad7-part8	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
matR-part12	gene-G1-464	4065.826935	2779.06783	2470.869029	1.645504835	1.124732957
matR-part13	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part14	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part15	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part16	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part17	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part18	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part19	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part20	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part21	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part22	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part23	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
matR-part24	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
rps3-part19	gene-G1-1811	1929.272568	1207.145062	1192.166509	1.618291198	1.012564145
rps3-part20	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part21	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part22	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part23	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part24	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part25	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part26	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part27	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part30	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
rps3-part31	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
cox2-part0	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
cox2-part1	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
cox2-part2	gene-G1-467	5254.649015	4099.597485	3270.481116	1.606689911	1.253515107
cox2-part3	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
cox2-part4	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
cox2-part5	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
cox2-part6	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
cox2-part7	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
cox2-part8	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
cox2-part9	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
atp6-part7	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
atp6-part8	gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
atp6-part9	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part10	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part11	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part12	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part13	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part14	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part15	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part16	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part17	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part18	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
atp6-part19	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
ccmB-part0	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
ccmB-part1	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
nad7-part20	gene-G1-465	1347.88592	862.9827363	864.3932351	1.559343439	0.998368221
nad7-part21	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part22	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part23	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part24	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part25	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part26	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part27	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part28	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part29	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part30	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part31	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
nad7-part32	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
sdh3-part2	gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
sdh3-part3	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part4	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part5	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part6	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part8	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part9	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part10	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
sdh3-part11	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
matR-part45	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
matR-part46	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
matR-part47	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
matR-part48	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
matR-part49	gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
matR-part50	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part51	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part52	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part53	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part54	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part55	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part56	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part57	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
matR-part58	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
atp1-part20	gene-G1-3511	1298.005273	1607.427034	861.9760281	1.505848458	1.864816401
atp1-part21	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part22	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part23	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part24	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part25	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part26	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part27	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part28	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part29	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part30	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part31	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
atp1-part32	gene-G1-4729	68.17021715	52.68375033	45.44349223	1.500109561	1.159324421
nad4L-part0	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part1	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part2	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part3	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part4	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part5	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part6	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part7	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part8	gene-G1-1812	1914.308374	1364.623663	1279.669403	1.495939787	1.066387662
nad4L-part9	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part11	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part12	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part13	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part14	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part15	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part16	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part17	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part18	gene-G1-36	535.9398373	214.7435475	360.163848	1.488044512	0.596238486
nad7-part19	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
nad2-part41	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
nad2-part42	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part12	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part13	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part14	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part17	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part18	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part19	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part20	gene-G1-3685	1841.150093	1630.905662	1248.729153	1.474419082	1.306052364
rps3-part21	gene-G1-1809	2566.636387	1894.324414	1776.163728	1.445044928	1.066525785
rps3-part22	gene-G1-1809	2566.636387	1894.324414	1776.163728	1.445044928	1.066525785
rps3-part23	gene-G1-1809	2566.636387	1894.324414	1776.163728	1.445044928	1.066525785
rps3-part24	gene-G1-1809	2566.636387	1894.324414	1776.163728	1.445044928	1.066525785
ccmFn-part25	gene-G1-1809	2566.636387	1894.324414	1776.163728	1.445044928	1.066525785
ccmFn-part26	gene-G1-1809	2566.636387	1894.324414	1776.163728	1.445044928	1.066525785
ccmFn-part27	gene-G1-2694	807.5122471	559.4785225	562.2423559	1.436235173	0.995084267
ccmFn-part28	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part29	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part30	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part31	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part32	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part33	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part34	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part35	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part36	gene-G1-4731	522.0841021	305.2221622	363.5479378	1.436080494	0.839565104
ccmFn-part37	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
ccmFn-part38	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
matR-part65	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
nad7-part26	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
nad7-part27	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
nad7-part28	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
nad7-part29	gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
nad7-part30	gene-G1-3510	18215.30371	15209.56966	12844.07129	1.418187684	1.184170448
nad7-part31	gene-G1-3510	18215.30371	15209.56966	12844.07129	1.418187684	1.184170448
nad7-part32	gene-G1-3510	18215.30371	15209.56966	12844.07129	1.418187684	1.184170448
nad7-part33	gene-G1-3510	18215.30371	15209.56966	12844.07129	1.418187684	1.184170448
nad7-part34	gene-G1-3510	18215.30371	15209.56966	12844.07129	1.418187684	1.184170448
nad7-part35	gene-G1-1978	688.9071538	537.717843	486.8254965	1.415100809	1.104539197
nad7-part36	gene-G1-1978	688.9071538	537.717843	486.8254965	1.415100809	1.104539197
nad7-part37	gene-G1-1978	688.9071538	537.717843	486.8254965	1.415100809	1.104539197
atp1-part27	gene-G1-921	1019.78211	639.6494469	724.1952272	1.408159115	0.883255541
atp1-part28	gene-G1-921	1019.78211	639.6494469	724.1952272	1.408159115	0.883255541
atp1-part29	gene-G1-921	1019.78211	639.6494469	724.1952272	1.408159115	0.883255541
atp1-part30	gene-G1-921	1019.78211	639.6494469	724.1952272	1.408159115	0.883255541
