RNA anno gene_id	TPM in G1	TPM in G1+HB	TPM in HB	TPM in G1/TPM in HB	TPM in G1+HB/TPM in HB
gene-G1-1048	405.6959265	371.0768501	331.1573636	1.225085023	1.120545369
gene-G1-1049	202.8479632	199.8546616	159.5356642	1.271489759	1.252727173
gene-G1-105	8.867670524	16.60683434	15.95356642	0.555842518	1.040948081
gene-G1-1050	537.0482961	135.717922	342.2765159	1.569048039	0.396515436
gene-G1-1051	3305.424188	1827.324427	1870.918244	1.766738979	0.97669924
gene-G1-1052	331.4291858	213.0255991	213.1976603	1.55456296	0.99919295
gene-G1-1053	305.9346331	314.3845536	249.9392072	1.224036182	1.257844086
gene-G1-1054	801.4157236	929.4100737	784.1419616	1.022028871	1.185257414
gene-G1-1055	253.2828393	301.7862655	278.9456916	0.908000542	1.081881795
gene-G1-1056	234.9932689	296.6324203	249.4557658	0.942023802	1.189118317
gene-G1-1057	196.1972103	262.2734527	233.018758	0.841980328	1.125546522
gene-G1-1058	145.7623342	190.6922702	170.1713751	0.856562005	1.120589582
gene-G1-1059	239.4271041	312.0939557	314.2369143	0.76193182	0.993180437
gene-G1-106	16.62688223	9.162391361	15.47012501	1.074773618	0.592263563
gene-G1-1060	503.2403022	656.2562812	587.8647505	0.856047759	1.116338887
gene-G1-1061	739.3420299	995.2647616	883.7308914	0.836614446	1.126207957
gene-G1-1062	260.4878216	342.4443771	301.6674378	0.863493334	1.135171829
gene-G1-1063	121.9304697	149.4615091	139.2311251	0.875741467	1.073477708
gene-G1-1064	3131.396154	1937.845773	1659.170908	1.887325856	1.167960313
gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
gene-G1-1066	785.8973002	647.0938899	512.4478911	1.533614078	1.262750616
gene-G1-1067	1117.880715	816.5981301	738.6984694	1.513311265	1.105455289
gene-G1-1068	712.7390184	551.4614301	452.0177152	1.576794436	1.219999596
gene-G1-1069	559.7717018	532.5639979	490.2095864	1.141902805	1.086400619
gene-G1-107	8.313441116	12.02563866	3.867531253	2.149547236	3.109383706
gene-G1-1070	364.6829503	376.2306953	314.7203557	1.158752345	1.195444427
gene-G1-1071	457.2392614	497.0597313	473.7725785	0.965102841	1.049152597
gene-G1-1072	570.85629	705.5041348	503.2625043	1.13431119	1.401861114
gene-G1-1073	272.6808686	353.8973663	265.4093323	1.02739744	1.33340212
gene-G1-1074	271.0181804	344.734975	279.9125745	0.968224385	1.231580881
gene-G1-1075	772.041565	998.1280089	734.8309381	1.050638351	1.358309724
gene-G1-1076	579.1697311	743.2989992	655.063106	0.884143414	1.13469831
gene-G1-1077	350.2729857	448.3845272	436.5475902	0.802370677	1.027114883
gene-G1-1078	555.892096	653.9656834	407.0576644	1.36563476	1.60656767
gene-G1-1079	467.7696201	618.4614169	575.7787153	0.812412143	1.074130391
gene-G1-108	19.95225868	13.17093758	14.5032422	1.375710231	0.908137463
gene-G1-1080	329.2122682	390.5469318	312.7865901	1.05251401	1.2486051
gene-G1-1081	282.6569979	368.7862523	301.1839963	0.938486113	1.224455007
gene-G1-1082	430.6362498	569.2135633	437.9979144	0.983192467	1.299580534
gene-G1-1083	264.9216569	322.9742955	327.2898323	0.809440535	0.986814327
gene-G1-1084	560.3259312	605.8631288	445.7329769	1.257088796	1.359251301
gene-G1-1085	340.2968564	396.8460758	281.3628987	1.20945888	1.410442093
gene-G1-1086	473.3119142	414.5982091	338.8924261	1.39664353	1.223391782
gene-G1-1087	333.0918741	328.1281406	265.8927737	1.252730074	1.234061897
gene-G1-1088	221.1375337	244.5213195	171.138258	1.292157209	1.428794019
gene-G1-1089	228.342516	247.3845668	195.7937697	1.166239949	1.263495601
gene-G1-109	6.650752893	8.589741901	6.768179693	0.982650165	1.269136207
gene-G1-1090	578.6155017	598.9913352	441.8654457	1.30948348	1.355596689
gene-G1-1091	401.8163206	392.8375296	336.9586604	1.192479576	1.165833011
gene-G1-1092	126.9185344	205.5811562	131.4960626	0.965188857	1.563401611
gene-G1-1093	558.663243	526.8375033	468.4547231	1.192566145	1.124628438
gene-G1-1094	1080.747345	1002.709205	761.9036569	1.418482948	1.31605774
gene-G1-1095	587.4831722	593.8374901	584.4806607	1.005137059	1.016008792
gene-G1-1096	1173.857886	1220.315999	861.0091453	1.36335124	1.417308987
gene-G1-1097	723.8236065	826.9058204	677.3014107	1.068687581	1.220883062
gene-G1-1098	225.571369	339.0084804	289.5814026	0.778956683	1.170684572
gene-G1-1099	274.8977862	376.2306953	283.2966643	0.970353064	1.328044918
gene-G1-11	19.95225868	32.64101922	33.35745706	0.598134883	0.978522409
gene-G1-110	8.313441116	2.8632473	10.15226954	0.818875138	0.282030268
gene-G1-1100	251.0659217	305.7948117	317.1375628	0.791662519	0.964233972
gene-G1-1101	421.2143499	548.5981828	500.8452973	0.841006898	1.095344582
gene-G1-1102	256.0539864	279.4529365	343.2433987	0.745983717	0.814153856
gene-G1-1103	205.0648809	308.0854095	299.7336721	0.68415697	1.027863861
gene-G1-1104	226.1255984	337.8631814	292.482051	0.773126411	1.155158685
gene-G1-1105	322.5615153	435.2135897	393.521305	0.819679929	1.105946703
gene-G1-1106	90.89362287	178.0939821	160.9859884	0.564605801	1.106270079
gene-G1-1107	249.9574629	401.999921	343.2433987	0.7282222	1.171180342
gene-G1-1108	160.7265282	237.6495259	195.3103283	0.822928975	1.216779102
gene-G1-1109	346.9476092	682.025507	546.2887895	0.635099266	1.248470626
gene-G1-111	20.50648809	21.76067948	23.68862893	0.865668003	0.918612873
gene-G1-1110	128.0269932	250.8204635	187.5752658	0.682536648	1.337172374
gene-G1-1111	195.6429809	378.5212931	315.2037971	0.620687259	1.200877961
gene-G1-1112	147.9792519	281.1708849	213.6811017	0.692523815	1.315843482
gene-G1-1113	53.20602314	132.8546747	125.2113243	0.424929801	1.061043603
gene-G1-1114	179.5703281	325.8375428	280.8794573	0.639314565	1.16006185
gene-G1-1115	85.9055582	146.5982618	122.3106759	0.702355355	1.198572902
gene-G1-1116	92.00208169	157.4786015	141.6483322	0.649510519	1.111757542
gene-G1-1117	48.21795847	108.230748	101.039254	0.477220056	1.071175248
gene-G1-1118	42.6756644	87.61536739	69.61556256	0.613019027	1.258560072
gene-G1-1119	72.60405241	154.0427048	115.0590548	0.631015547	1.338814273
gene-G1-112	9.421899932	6.871793521	14.01980079	0.672042354	0.490149156
gene-G1-1120	87.56824642	191.2649197	131.0126212	0.6683955	1.459896901
gene-G1-1121	114.171258	164.350395	163.4031955	0.698708845	1.005796702
gene-G1-1122	33.80799387	81.88887279	72.03276959	0.469341857	1.136828047
gene-G1-1123	221.6917631	603.5725309	458.7858949	0.483213991	1.315586503
gene-G1-1124	170.1484282	379.666592	359.1969651	0.473691163	1.056987193
gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
gene-G1-1126	466.6611613	209.0170529	182.2574103	2.560450961	1.146823345
gene-G1-1127	665.0752893	321.2563471	279.9125745	2.376010762	1.147702449
gene-G1-1128	896.7431817	439.2221359	364.5148206	2.460100745	1.204950008
gene-G1-1129	488.8303376	283.4614827	230.601551	2.119805073	1.229226263
gene-G1-113	21.06071749	18.32478272	17.88733205	1.177409657	1.024455893
gene-G1-1130	1088.506557	562.3417698	450.567391	2.41585738	1.248074719
gene-G1-1131	707.7509537	313.2392547	285.2304299	2.481330459	1.098197183
gene-G1-1132	681.1479421	316.6751514	167.2707267	4.072128791	1.893189309
gene-G1-1133	550.9040313	179.239281	95.23795711	5.784500718	1.88201518
gene-G1-1134	397.3824854	122.5469845	81.70159773	4.863827592	1.499933757
gene-G1-1135	236.1017277	205.5811562	140.1980079	1.684059076	1.466362891
gene-G1-1136	151.8588577	125.9828812	74.93341803	2.026583889	1.681264308
gene-G1-1137	172.3653458	178.6666315	87.98633601	1.959001291	2.03061793
gene-G1-1138	313.1396154	254.2563603	160.9859884	1.945135837	1.579369501
gene-G1-1139	128.5812226	87.61536739	83.15192195	1.546340957	1.053678199
gene-G1-114	32.14530565	29.77777192	34.32433987	0.936516355	0.867540994
gene-G1-1140	247.1863159	179.239281	112.6418478	2.194444789	1.591231719
gene-G1-1141	264.3674275	122.5469845	75.41685944	3.505415493	1.624928237
gene-G1-1142	24.94032335	50.96580195	34.80778128	0.716515745	1.464207142
gene-G1-1143	28.8199292	58.98289439	35.29122269	0.816631644	1.671319096
gene-G1-1144	31.03684683	59.55554385	47.86069926	0.648482937	1.244351728
gene-G1-1145	49.8806467	97.35040821	66.23147271	0.753126039	1.469851178
gene-G1-1146	41.01297617	77.30767711	58.97985161	0.695372658	1.31074723
gene-G1-1147	26.04878216	53.25639979	47.86069926	0.544262465	1.112737603
gene-G1-1148	84.79709938	141.4444166	115.0590548	0.736987624	1.229320169
gene-G1-1149	103.0866698	187.2563734	120.3769103	0.856365807	1.555583816
gene-G1-115	11.08458815	7.444442981	11.60259376	0.955354327	0.64161886
gene-G1-1150	50.4348761	113.3845931	70.09900397	0.719480638	1.617492214
gene-G1-1151	25.49455276	44.66665789	47.37725785	0.538117948	0.942786896
gene-G1-1152	67.06175834	133.9999737	119.8934689	0.55934455	1.117658659
gene-G1-1153	100.3155228	170.6495391	151.3171603	0.662948754	1.12776065
gene-G1-1154	33.25376446	64.13673953	48.34414067	0.687855116	1.326670381
gene-G1-1155	12.19304697	26.91452462	18.85421486	0.646701391	1.427507049
gene-G1-1156	14.96419401	26.34187516	26.10583596	0.573212596	1.009041626
gene-G1-1157	26.60301157	64.13673953	36.2581055	0.733712123	1.768893842
gene-G1-1158	48.77218788	113.9572426	66.71491412	0.731053746	1.70812245
gene-G1-1159	13.30150579	20.0427311	10.63571095	1.250645665	1.884474973
gene-G1-116	7.759211708	6.871793521	5.317855473	1.459086609	1.29221141
gene-G1-1160	31.03684683	46.95725573	33.35745706	0.93043204	1.407698904
gene-G1-1161	29.37415861	49.24785357	38.19187113	0.769120699	1.289485226
gene-G1-1162	13.30150579	22.33332894	21.7548633	0.611426769	1.026590176
gene-G1-1163	7.204982301	18.89743218	11.11915235	0.647979457	1.69953892
gene-G1-1164	59.85677604	97.35040821	74.93341803	0.798799489	1.299158783
gene-G1-1165	18.28957046	24.62392678	14.01980079	1.304552805	1.756367808
gene-G1-1166	12.74727638	36.64956544	10.15226954	1.255608544	3.609987432
gene-G1-1167	26.60301157	25.7692257	16.92044923	1.572240264	1.522963448
gene-G1-1168	10.53035875	10.88033974	12.56947657	0.837772256	0.865615977
gene-G1-1169	23.27763513	20.61538056	14.01980079	1.660339934	1.470447467
gene-G1-117	25.49455276	29.77777192	29.48992581	0.864517358	1.009760829
gene-G1-1170	19.39802927	17.1794838	16.92044923	1.146425193	1.015308965
gene-G1-1171	15.51842342	25.7692257	11.60259376	1.337496058	2.220988361
gene-G1-1172	4.433835262	3.43589676	0.966882813	4.58570077	3.553581378
gene-G1-1173	5.542294077	10.88033974	12.08603517	0.458570077	0.900240616
gene-G1-1174	19.95225868	30.35042138	13.53635939	1.473975248	2.242140632
gene-G1-1175	7.759211708	8.017092441	5.80129688	1.337496058	1.381948314
gene-G1-1176	4.98806467	5.153845141	3.867531253	1.289728342	1.332593017
gene-G1-1177	9.976129339	14.3162365	6.284738287	1.587357959	2.277936781
gene-G1-1178	17.73534105	31.4957203	14.98668361	1.18340665	2.101580385
gene-G1-1179	4.98806467	8.017092441	5.317855473	0.937984248	1.507579979
gene-G1-118	9.421899932	15.46153542	20.30453908	0.464029245	0.761481724
gene-G1-1180	12.19304697	10.88033974	12.08603517	1.008854169	0.900240616
gene-G1-1181	6.096523485	7.444442981	5.317855473	1.146425193	1.399895695
gene-G1-1182	20.50648809	28.632473	14.5032422	1.413924404	1.974211877
gene-G1-1183	4.433835262	12.02563866	3.867531253	1.146425193	3.109383706
gene-G1-1184	8.313441116	13.17093758	9.185386727	0.90507252	1.433901258
gene-G1-1185	8.313441116	12.59828812	9.668828133	0.859818894	1.302979839
gene-G1-1186	7.759211708	14.88888596	4.35097266	1.783328077	3.421967253
gene-G1-1187	19.39802927	23.47862786	13.53635939	1.433031491	1.734486149
gene-G1-1188	3.879605854	6.299144061	1.933765627	2.006244087	3.257449597
gene-G1-1189	14.4099646	12.02563866	10.63571095	1.354866137	1.130684984
gene-G1-119	19.39802927	17.1794838	20.30453908	0.955354327	0.846090804
gene-G1-1190	17.73534105	22.33332894	12.56947657	1.410984852	1.776790689
gene-G1-1191	3.325376446	6.299144061	7.2516211	0.458570077	0.868653226
gene-G1-1192	7.759211708	15.46153542	14.5032422	0.534998423	1.066074414
gene-G1-1193	17.18111164	23.47862786	10.15226954	1.692341951	2.312648199
gene-G1-1194	12.74727638	15.46153542	8.70194532	1.464876635	1.776790689
gene-G1-1195	5.542294077	17.75213326	10.63571095	0.52110236	1.669106405
gene-G1-1196	16.07265282	21.76067948	13.05291798	1.231345577	1.667112252
gene-G1-1197	9.421899932	8.589741901	11.60259376	0.812051178	0.740329454
gene-G1-1198	19.95225868	28.632473	27.07271877	0.736987624	1.057613505
gene-G1-1199	9.421899932	10.30769028	10.63571095	0.885874012	0.969158558
gene-G1-12	27.71147039	36.07691598	40.60907816	0.682395948	0.888395345
gene-G1-120	18.84379986	14.88888596	29.0064844	0.649640942	0.513295088
gene-G1-1200	18.28957046	23.47862786	17.88733205	1.022487334	1.312584113
gene-G1-1201	12.19304697	12.59828812	17.40389064	0.700593173	0.723877688
gene-G1-1202	11.63881756	12.02563866	12.56947657	0.925958809	0.956733448
gene-G1-1203	16.62688223	12.02563866	14.98668361	1.109443735	0.802421602
gene-G1-1204	17.73534105	14.3162365	8.70194532	2.038089231	1.645176564
gene-G1-1205	14.4099646	22.9059784	15.95356642	0.903244091	1.435790456
gene-G1-1206	10.53035875	11.4529892	4.834414067	2.178207866	2.369054252
gene-G1-1207	21.6149469	22.9059784	21.7548633	0.9935685	1.052913001
gene-G1-1208	8.867670524	12.02563866	13.05291798	0.679363077	0.921298876
gene-G1-1209	7.759211708	14.3162365	14.01980079	0.553446645	1.021144074
gene-G1-121	14.4099646	15.46153542	20.78798049	0.693187326	0.743772847
gene-G1-1210	7.204982301	9.735040821	8.218503913	0.876678088	1.184527126
gene-G1-1211	7.204982301	7.444442981	7.2516211	0.9935685	1.026590176
gene-G1-1212	6.096523485	10.30769028	4.35097266	1.401186347	2.369054252
gene-G1-1213	33.25376446	42.37606005	42.54284379	0.78165354	0.996079629
gene-G1-1214	16.07265282	18.32478272	20.78798049	0.773170479	0.881508559
gene-G1-1215	11.63881756	13.17093758	8.70194532	1.337496058	1.513562439
gene-G1-1216	4.433835262	11.4529892	16.92044923	0.262040044	0.676872643
gene-G1-1217	26.04878216	24.62392678	24.17207033	1.077639681	1.018693328
gene-G1-1218	11.63881756	21.76067948	11.11915235	1.046736045	1.957044817
gene-G1-1219	12.19304697	26.34187516	18.85421486	0.646701391	1.397134559
gene-G1-122	12.19304697	12.59828812	19.82109767	0.615154981	0.635599921
gene-G1-1220	9.976129339	16.03418488	15.95356642	0.625322832	1.005053319
gene-G1-1221	9.421899932	16.03418488	20.78798049	0.453237867	0.771319989
gene-G1-1222	22.16917631	20.0427311	18.85421486	1.17582071	1.063037164
gene-G1-1223	7.204982301	17.1794838	9.185386727	0.784396184	1.870305989
gene-G1-1224	9.976129339	17.75213326	14.01980079	0.711574257	1.266218652
gene-G1-1225	11.63881756	12.02563866	9.668828133	1.203746452	1.243753482
gene-G1-1226	23.27763513	32.06836976	32.39057425	0.718654598	0.990052523
gene-G1-1227	8.867670524	11.4529892	8.218503913	1.078988417	1.393561325
gene-G1-1228	6.650752893	12.59828812	10.63571095	0.625322832	1.184527126
gene-G1-1229	9.976129339	10.88033974	21.7548633	0.458570077	0.500133675
gene-G1-123	27.15724098	28.05982354	29.0064844	0.936247241	0.96736382
gene-G1-1230	14.4099646	11.4529892	8.70194532	1.6559475	1.316141251
gene-G1-1231	23.83186453	34.93161706	24.17207033	0.985925666	1.445123094
gene-G1-1232	12.19304697	17.1794838	20.78798049	0.586543122	0.826414274
gene-G1-1233	11.08458815	15.46153542	12.08603517	0.917140154	1.279289296
gene-G1-1234	16.07265282	20.61538056	12.08603517	1.329853223	1.705719062
gene-G1-1235	4.98806467	8.589741901	5.317855473	0.937984248	1.615264263
gene-G1-1236	17.18111164	20.61538056	15.47012501	1.110599405	1.332593017
gene-G1-1237	12.19304697	12.59828812	14.98668361	0.813592072	0.840632154
gene-G1-1238	18.84379986	21.18803002	13.53635939	1.392087734	1.565267988
gene-G1-1239	11.08458815	9.735040821	12.56947657	0.881865533	0.774498506
gene-G1-124	18.28957046	20.61538056	17.40389064	1.05088976	1.184527126
gene-G1-1240	4.433835262	1.71794838	5.317855473	0.833763776	0.323052853
gene-G1-1241	28.8199292	24.62392678	25.62239455	1.124794529	0.961031442
gene-G1-1242	7.759211708	12.02563866	6.284738287	1.234611746	1.913466896
gene-G1-1243	12.19304697	12.02563866	14.98668361	0.813592072	0.802421602
gene-G1-1244	5.542294077	5.153845141	4.834414067	1.146425193	1.066074414
gene-G1-1245	5.542294077	2.8632473	3.384089847	1.637750275	0.846090804
gene-G1-1246	36.0249115	32.06836976	17.88733205	2.013990203	1.792797813
gene-G1-1247	9.976129339	5.726494601	5.317855473	1.875968497	1.076842842
gene-G1-1248	14.4099646	13.17093758	20.78798049	0.693187326	0.633584277
gene-G1-1249	19.39802927	12.02563866	7.735062507	2.507805109	1.554691853
gene-G1-125	14.96419401	17.75213326	17.40389064	0.859818894	1.02000947
gene-G1-1250	8.313441116	5.726494601	3.384089847	2.456625413	1.692181609
gene-G1-1251	12.19304697	5.153845141	5.80129688	2.10177952	0.888395345
gene-G1-1252	17.18111164	6.299144061	4.35097266	3.948797886	1.447755376
gene-G1-1253	15.51842342	10.30769028	5.317855473	2.918173218	1.938317115
gene-G1-1254	7.204982301	4.581195681	6.284738287	1.146425193	0.72893977
gene-G1-1255	14.96419401	20.61538056	20.78798049	0.719848377	0.991697129
gene-G1-1256	15.51842342	10.88033974	10.63571095	1.459086609	1.0230007
gene-G1-1257	14.4099646	9.162391361	8.218503913	1.753356177	1.11484906
gene-G1-1258	16.07265282	18.89743218	12.56947657	1.278705023	1.503438275
gene-G1-1259	9.421899932	13.17093758	9.668828133	0.974461414	1.362206195
gene-G1-126	19.39802927	17.75213326	34.32433987	0.565139179	0.5171879
gene-G1-1260	9.976129339	9.162391361	10.15226954	0.982650165	0.902496858
gene-G1-1261	12.19304697	12.02563866	7.2516211	1.681423616	1.658337977
gene-G1-1262	12.19304697	13.17093758	9.668828133	1.261067712	1.362206195
gene-G1-1263	12.74727638	13.74358704	11.60259376	1.098657476	1.184527126
gene-G1-1264	11.08458815	23.47862786	9.185386727	1.206763361	2.556084851
gene-G1-1265	13.30150579	9.162391361	14.5032422	0.917140154	0.631747801
gene-G1-1266	19.39802927	20.0427311	13.53635939	1.433031491	1.480658908
gene-G1-1267	8.867670524	8.017092441	6.768179693	1.31020022	1.184527126
gene-G1-1268	23.83186453	19.47008164	21.27142189	1.120370075	0.915316416
gene-G1-1269	6.650752893	6.299144061	5.317855473	1.250645665	1.184527126
gene-G1-127	26.60301157	29.77777192	26.58927737	1.000516532	1.119916556
gene-G1-1270	2.771147039	2.8632473	3.384089847	0.818875138	0.846090804
gene-G1-1271	25.49455276	29.77777192	25.62239455	0.995010545	1.162177558
gene-G1-1272	14.4099646	11.4529892	4.35097266	3.311895001	2.632282502
gene-G1-1273	8.313441116	5.726494601	5.80129688	1.433031491	0.987105938
gene-G1-1274	12.19304697	5.726494601	6.284738287	1.940104172	0.911174712
gene-G1-1275	6.096523485	5.726494601	3.384089847	1.801525303	1.692181609
gene-G1-1276	7.759211708	12.59828812	6.768179693	1.146425193	1.86139977
gene-G1-1277	11.08458815	9.735040821	11.11915235	0.996891472	0.87552005
gene-G1-1278	6.650752893	5.726494601	7.2516211	0.917140154	0.789684751
gene-G1-1279	2.216917631	6.299144061	1.933765627	1.146425193	3.257449597
gene-G1-128	21.06071749	24.05127732	31.42369143	0.670217805	0.765386758
gene-G1-1280	6.096523485	9.735040821	11.11915235	0.54829031	0.87552005
gene-G1-1281	6.096523485	4.008546221	7.735062507	0.78816732	0.518230618
gene-G1-1282	15.51842342	12.59828812	19.33765627	0.802497635	0.651489919
gene-G1-1283	9.976129339	10.30769028	8.218503913	1.213861969	1.254205192
gene-G1-1284	14.96419401	18.89743218	17.88733205	0.836580546	1.05647014
gene-G1-1285	7.759211708	8.017092441	10.15226954	0.764283462	0.789684751
gene-G1-1286	14.96419401	13.17093758	8.218503913	1.820792953	1.602595524
gene-G1-1287	13.85573519	6.871793521	5.80129688	2.388385818	1.184527126
gene-G1-1288	13.85573519	18.32478272	21.27142189	0.65137795	0.861474274
gene-G1-1289	12.19304697	10.88033974	15.47012501	0.78816732	0.703312981
gene-G1-129	48.77218788	50.39315249	47.37725785	1.02944303	1.063657011
gene-G1-1290	17.18111164	16.60683434	19.82109767	0.866809292	0.83783626
gene-G1-1291	11.08458815	7.444442981	10.63571095	1.042204721	0.699947847
gene-G1-1292	10.53035875	17.75213326	14.98668361	0.702647699	1.184527126
gene-G1-1293	15.51842342	20.0427311	16.92044923	0.917140154	1.184527126
gene-G1-1294	13.30150579	12.02563866	9.668828133	1.375710231	1.243753482
gene-G1-1295	13.85573519	11.4529892	6.284738287	2.204663832	1.822349425
gene-G1-1296	4.433835262	8.017092441	10.15226954	0.436733407	0.789684751
gene-G1-1297	6.096523485	8.589741901	9.185386727	0.663719848	0.935152994
gene-G1-1298	9.976129339	6.871793521	11.11915235	0.897202325	0.618014153
gene-G1-1299	2.216917631	10.88033974	3.384089847	0.65510011	3.215145057
gene-G1-13	6.096523485	12.59828812	13.05291798	0.467062116	0.965170251
gene-G1-130	9.976129339	10.30769028	31.42369143	0.317471592	0.328022896
gene-G1-1300	6.650752893	8.589741901	15.95356642	0.416881888	0.538421421
gene-G1-1301	3.325376446	9.735040821	9.185386727	0.362029008	1.05984006
gene-G1-1302	7.759211708	19.47008164	20.78798049	0.373254714	0.936602844
gene-G1-1303	8.867670524	10.88033974	11.11915235	0.797513177	0.978522409
gene-G1-1304	6.650752893	11.4529892	11.60259376	0.573212596	0.987105938
gene-G1-1305	17.18111164	9.735040821	13.05291798	1.316265962	0.745813376
gene-G1-1306	8.313441116	16.60683434	9.668828133	0.859818894	1.717564333
gene-G1-1307	4.98806467	8.589741901	9.668828133	0.515891337	0.888395345
gene-G1-1308	13.30150579	14.88888596	13.53635939	0.982650165	1.099918046
gene-G1-1309	7.204982301	12.59828812	7.735062507	0.931470469	1.628724798
gene-G1-131	12.19304697	17.1794838	5.80129688	2.10177952	2.961317815
gene-G1-1310	16.07265282	27.48717408	23.20518752	0.692631887	1.184527126
gene-G1-1311	4.98806467	10.30769028	13.53635939	0.368493812	0.761481724
gene-G1-1312	7.759211708	13.17093758	18.37077345	0.422367176	0.716950629
gene-G1-1313	8.867670524	15.46153542	11.60259376	0.764283462	1.332593017
gene-G1-1314	9.421899932	14.3162365	16.43700783	0.573212596	0.870975828
gene-G1-1315	12.74727638	9.162391361	15.47012501	0.823993107	0.592263563
gene-G1-1316	5.542294077	15.46153542	6.768179693	0.818875138	2.284445172
gene-G1-1317	13.85573519	13.17093758	16.92044923	0.818875138	0.77840354
gene-G1-1318	12.74727638	10.30769028	12.56947657	1.014145363	0.820057241
